person_id,x,y
1,1.239,8.618
1,1.256,8.578
1,1.261,8.494
1,1.243,8.406
1,1.228,8.297
1,1.244,8.237
1,1.239,8.061
1,1.239,7.96
1,1.276,7.866
1,1.291,7.737
1,1.292,7.586
1,1.305,7.468
1,1.326,7.365
1,1.346,7.281
1,1.356,7.146
1,1.39,7.05
1,1.463,6.937
1,1.52,6.799
1,1.559,6.683
1,1.612,6.59
1,1.637,6.535
1,1.687,6.445
1,1.74,6.355
1,1.769,6.284
1,1.799,6.21
1,1.866,6.11
1,1.922,6.025
1,1.968,5.908
1,2.039,5.818
1,2.102,5.74
1,2.168,5.698
1,2.252,5.628
1,2.319,5.558
1,2.387,5.493
1,2.319,5.492
1,2.296,5.404
1,2.28,5.331
1,2.31,5.226
1,2.75,5.174
1,2.831,4.968
1,3,4.88
1,3.093,4.722
1,3.2,4.649
1,3.259,4.567
1,3.338,4.502
1,3.391,4.427
1,3.464,4.359
1,3.534,4.297
1,3.584,4.286
1,3.64,4.259
1,3.711,4.216
1,3.787,4.14
1,3.842,4.041
1,3.896,3.957
1,3.956,3.859
1,4.001,3.718
1,4.034,3.622
1,4.078,3.555
1,4.107,3.483
1,4.178,3.442
1,4.255,3.361
1,4.292,3.249
1,4.375,3.14
1,4.487,3.017
1,4.61,2.881
1,4.643,2.861
1,4.687,2.793
1,4.735,2.736
1,4.781,2.701
1,4.831,2.626
1,4.93,2.562
1,5.028,2.517
1,5.123,2.47
1,5.229,2.475
1,5.261,2.471
1,5.326,2.428
1,5.393,2.368
1,5.46,2.356
1,5.533,2.304
1,5.642,2.221
1,5.727,2.138
1,5.842,2.071
1,5.961,1.978
1,6.051,1.924
1,6.145,1.818
1,6.215,1.706
1,6.306,1.67
1,6.38,1.59
1,6.437,1.509
1,6.477,1.434
1,6.524,1.364
1,6.584,1.253
1,6.657,1.171
1,6.71,1.102
1,6.748,1.043
1,6.815,0.998
1,6.868,0.947
1,6.929,0.866
1,7.003,0.778
1,7.079,0.666
1,7.176,0.558
1,7.279,0.465
1,7.369,0.418
1,7.458,0.371
1,7.525,0.336
1,7.6,0.269
1,7.728,0.16
1,7.817,0.04
1,7.905,-0.069
1,7.992,-0.169
1,8.069,-0.218
1,8.152,-0.216
1,8.219,-0.221
1,8.266,-0.299
1,8.362,-0.375
1,8.469,-0.458
1,8.527,-0.542
1,8.672,-0.634
1,8.782,-0.738
1,8.832,-0.828
1,8.913,-0.874
1,8.987,-0.923
1,9.109,-0.967
1,9.201,-1.013
1,9.261,-1.058
1,9.331,-1.107
1,9.398,-1.16
1,9.472,-1.247
1,9.511,-1.301
1,9.567,-1.386
1,9.633,-1.473
1,9.72,-1.58
1,9.783,-1.674
1,9.866,-1.819
1,9.97,-1.992
1,10.008,-2.089
1,10.074,-2.176
1,10.117,-2.236
1,10.168,-2.324
1,10.212,-2.427
1,10.26,-2.535
1,10.306,-2.631
1,10.379,-2.711
1,10.476,-2.765
1,10.573,-2.838
1,10.646,-2.884
1,10.681,-2.935
1,10.721,-3.013
1,10.759,-3.088
1,10.811,-3.167
1,10.862,-3.231
1,10.899,-3.299
1,10.988,-3.442
1,11.063,-3.53
1,11.11,-3.573
1,11.178,-3.639
1,11.238,-3.736
1,11.297,-3.842
1,11.333,-4
1,11.391,-4.088
1,11.436,-4.16
1,11.494,-4.254
1,11.567,-4.333
1,11.656,-4.454
1,11.697,-4.523
1,11.744,-4.557
1,11.794,-4.608
1,11.89,-4.698
1,11.989,-4.834
1,12.058,-4.93
1,12.106,-5.006
1,12.149,-5.097
1,12.389,-5.421
1,12.503,-5.509
1,12.609,-5.567
1,12.654,-5.588
1,12.739,-5.705
1,12.755,-5.775
1,12.797,-5.828
1,12.831,-5.907
1,12.878,-5.991
1,12.965,-6.084
1,13.012,-6.122
1,13.109,-6.195
1,13.239,-6.248
