person_id,x,y
2,46.274,-23.994
2,46.246,-23.988
2,46.174,-23.963
2,46.1,-23.933
2,45.996,-23.933
2,45.912,-23.972
2,45.844,-24.019
2,45.75,-24.07
2,45.698,-24.101
2,45.665,-24.064
2,45.609,-23.948
2,45.532,-23.821
2,45.416,-23.733
2,45.278,-23.636
2,45.181,-23.765
2,45.04,-23.913
2,44.916,-24.083
2,44.802,-24.276
2,44.683,-24.43
2,44.654,-24.546
2,44.546,-24.574
2,44.487,-24.582
2,44.431,-24.617
2,44.37,-24.641
2,44.295,-24.604
2,44.073,-24.556
2,44.019,-24.562
2,43.752,-24.416
2,43.59,-24.429
2,43.481,-24.416
2,43.369,-24.364
2,43.263,-24.37
2,43.109,-24.414
2,43.072,-24.348
2,42.981,-24.339
2,42.671,-24.222
2,42.524,-24.201
2,42.394,-24.207
2,42.734,-24.25
2,42.66,-24.212
2,42.539,-24.141
2,42.385,-24.1
2,42.196,-24.122
2,42.082,-24.165
2,41.971,-24.211
2,41.944,-24.193
2,41.993,-24.303
2,42.031,-24.418
2,41.998,-24.464
2,42.057,-24.559
2,41.956,-24.526
2,41.836,-24.415
2,41.759,-24.361
2,41.766,-24.317
2,41.678,-24.29
2,41.632,-24.33
2,41.567,-24.277
2,41.515,-24.212
2,41.428,-24.126
2,41.363,-24.023
2,41.353,-23.96
2,41.306,-23.934
2,41.284,-23.905
2,41.303,-23.9
2,41.266,-23.857
2,41.198,-23.802
2,41.157,-23.786
2,41.104,-23.766
2,41.079,-23.737
2,41.058,-23.752
2,41.047,-23.735
2,40.995,-23.738
2,40.966,-23.798
2,40.93,-23.831
2,40.883,-23.845
2,40.83,-23.898
2,40.767,-24.017
2,40.733,-23.995
2,40.719,-23.907
2,40.632,-23.667
2,40.606,-23.538
2,40.568,-23.503
2,40.521,-23.456
2,40.461,-23.437
2,40.409,-23.425
2,40.369,-23.403
2,40.31,-23.358
2,40.3,-23.335
2,40.29,-23.341
2,40.239,-23.376
2,40.169,-23.445
2,40.195,-23.4
2,40.114,-23.454
2,40.082,-23.424
2,40.053,-23.438
2,40.021,-23.475
2,39.979,-23.511
2,39.955,-23.48
2,39.901,-23.433
2,39.913,-23.379
2,39.864,-23.269
2,39.816,-23.211
2,39.775,-23.156
2,39.737,-23.113
2,39.662,-23.088
2,39.59,-23.099
2,39.503,-23.076
2,39.433,-23.005
2,39.385,-22.959
2,39.285,-22.867
2,39.276,-22.839
2,39.257,-22.772
2,39.149,-22.583
2,39.088,-22.621
2,39.021,-22.558
2,38.959,-22.529
2,38.872,-22.444
2,38.794,-22.376
2,38.708,-22.302
2,38.636,-22.289
2,38.588,-22.281
2,38.5,-22.235
2,38.459,-22.202
2,38.424,-22.143
2,38.407,-22.128
2,38.394,-22.105
2,38.356,-22.071
2,38.355,-22.083
2,38.386,-22.087
2,38.435,-22.069
2,38.443,-22.038
2,38.481,-22.071
2,38.521,-22.052
2,38.537,-22.014
2,38.533,-21.981
2,38.544,-21.948
2,38.558,-21.962
2,38.528,-22.007
2,38.521,-22.035
2,38.523,-22.003
2,38.56,-22.008
2,38.57,-21.999
2,38.591,-21.995
2,38.593,-21.986
2,38.574,-21.976
2,38.58,-21.964
2,38.587,-22
2,38.612,-22.006
2,38.627,-22.007
2,38.619,-22.021
2,38.631,-22.04
2,38.646,-22.032
2,38.638,-22.012
2,38.635,-21.991
2,38.62,-21.997
2,38.633,-22.029
2,38.642,-22.074
2,38.658,-22.072
2,38.657,-22.024
2,38.657,-21.972
2,38.631,-21.991
2,38.596,-22.011
2,38.569,-22.031
2,38.584,-22.019
2,38.585,-21.998
2,38.588,-21.955
2,38.573,-22.038
2,38.574,-22.018
2,38.568,-21.991
2,38.529,-21.944
2,38.445,-21.89
2,38.397,-21.828
2,38.315,-21.765
2,38.212,-21.706
2,38.103,-21.656
2,38.05,-21.625
2,37.98,-21.586
2,37.913,-21.576
2,37.789,-21.53
2,37.64,-21.508
2,37.537,-21.501
2,37.497,-21.48
2,37.437,-21.455
2,37.415,-21.446
2,37.387,-21.405
2,37.344,-21.392
2,37.258,-21.358
2,37.17,-21.314
2,37.091,-21.275
2,37.003,-21.233
2,36.902,-21.199
2,36.773,-21.178
2,36.665,-21.172
2,36.534,-21.152
2,36.451,-21.142
2,36.386,-21.116
2,36.265,-21.054
2,36.281,-20.965
2,36.145,-20.936
2,36.072,-20.883
2,35.986,-20.835
2,35.931,-20.788
2,35.821,-20.771
2,35.63,-20.698
2,35.47,-20.641
2,35.359,-20.61
2,35.273,-20.581
2,35.196,-20.597
2,35.107,-20.551
2,35.051,-20.549
2,34.99,-20.509
2,34.947,-20.469
2,34.836,-20.412
2,34.779,-20.389
2,34.702,-20.355
2,34.63,-20.317
2,34.572,-20.313
2,34.478,-20.289
2,34.376,-20.248
2,34.264,-20.215
2,34.17,-20.199
2,34.094,-20.216
2,34.068,-20.202
2,33.998,-20.169
2,33.898,-20.13
2,33.836,-20.094
2,33.79,-20.073
2,33.728,-20.055
2,33.707,-20.018
2,33.624,-19.988
2,33.518,-19.946
2,33.451,-19.924
2,33.416,-19.914
2,33.358,-19.905
